== vae_miniwan_womd: miniwan, 5.60M params, world 4, per-rank batch 6 x accum 1 = effective 24; 1666 steps/epoch, 83300 steps total
{"VAE_ZDIM": 16, "VAE_DIM": 20, "VAE_NUM_RES_BLOCKS": 2, "VAE_INPUT_NORM": true, "INPUT_NORM_MEAN": [0.6014379089315451, 0.6051588518894708, 0.6036423582790911], "INPUT_NORM_STD": [0.08911796400949443, 0.08588843954384612, 0.1257365217955014], "VAE_DROPOUT": 0.1, "VAE_STREAMING": false, "FRAMES": 33, "IMG": 96, "FPS": 7, "DATASET": "womd_7hz_f33", "INIT": "miniwan", "EPOCHS": 50, "EFFECTIVE_BATCH": 24, "VAE_LR": 0.0002, "VAE_LR_END": 1e-06, "WARMUP_FRAC": 0.1, "VAE_WD": 1e-05, "KL_W": 0.0003, "KL_WARM_FRAC": 0.1, "VAE_LPIPS_W": 0.05, "VAE_LPIPS_NET": "alex", "GRAD_CLIP": 1.0, "PRECISION": "bf16", "SEED": 0}
[vae_miniwan_womd] ep   0 (init) val PSNR 5.142 LPIPS 0.8628 MSE 0.306638
  step 1 (1/1666 this epoch) | 5956 ms/step | ~165 min left in epoch | rec 0.50486 lpips 0.9806 lr 2.40e-08
  step 100 (100/1666 this epoch) | 538 ms/step | ~14 min left in epoch | rec 0.37806 lpips 0.9518 lr 2.40e-06
  step 200 (200/1666 this epoch) | 511 ms/step | ~12 min left in epoch | rec 0.22349 lpips 0.8889 lr 4.80e-06
  step 300 (300/1666 this epoch) | 503 ms/step | ~11 min left in epoch | rec 0.15698 lpips 0.8254 lr 7.20e-06
  step 400 (400/1666 this epoch) | 500 ms/step | ~11 min left in epoch | rec 0.12236 lpips 0.7795 lr 9.60e-06
  step 500 (500/1666 this epoch) | 498 ms/step | ~10 min left in epoch | rec 0.10077 lpips 0.7412 lr 1.20e-05
  step 600 (600/1666 this epoch) | 496 ms/step | ~9 min left in epoch | rec 0.08577 lpips 0.7048 lr 1.44e-05
  step 700 (700/1666 this epoch) | 495 ms/step | ~8 min left in epoch | rec 0.07478 lpips 0.6596 lr 1.68e-05
  step 800 (800/1666 this epoch) | 494 ms/step | ~7 min left in epoch | rec 0.06633 lpips 0.6165 lr 1.92e-05
  step 900 (900/1666 this epoch) | 494 ms/step | ~6 min left in epoch | rec 0.05967 lpips 0.5808 lr 2.16e-05
  step 1000 (1000/1666 this epoch) | 493 ms/step | ~5 min left in epoch | rec 0.05429 lpips 0.5503 lr 2.40e-05
  step 1100 (1100/1666 this epoch) | 493 ms/step | ~5 min left in epoch | rec 0.04986 lpips 0.5243 lr 2.64e-05
  step 1200 (1200/1666 this epoch) | 493 ms/step | ~4 min left in epoch | rec 0.04616 lpips 0.5018 lr 2.88e-05
  step 1300 (1300/1666 this epoch) | 492 ms/step | ~3 min left in epoch | rec 0.04300 lpips 0.4819 lr 3.12e-05
  step 1400 (1400/1666 this epoch) | 492 ms/step | ~2 min left in epoch | rec 0.04028 lpips 0.4642 lr 3.36e-05
  step 1500 (1500/1666 this epoch) | 492 ms/step | ~1 min left in epoch | rec 0.03791 lpips 0.4479 lr 3.60e-05
  step 1600 (1600/1666 this epoch) | 492 ms/step | ~1 min left in epoch | rec 0.03583 lpips 0.4328 lr 3.84e-05
[vae_miniwan_womd] ep   1/50 train rec 0.034596 LPIPS 0.4234 KL 0.603 (819s) | val PSNR 24.030 LPIPS 0.2694 MSE 0.004252  *best*
  step 1700 (34/1666 this epoch) | 491 ms/step | ~13 min left in epoch | rec 0.00444 lpips 0.1847 lr 4.08e-05
  step 1800 (134/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00439 lpips 0.1839 lr 4.32e-05
  step 1900 (234/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00433 lpips 0.1795 lr 4.56e-05
  step 2000 (334/1666 this epoch) | 490 ms/step | ~11 min left in epoch | rec 0.00428 lpips 0.1748 lr 4.80e-05
  step 2100 (434/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00421 lpips 0.1700 lr 5.04e-05
  step 2200 (534/1666 this epoch) | 490 ms/step | ~9 min left in epoch | rec 0.00418 lpips 0.1660 lr 5.28e-05
  step 2300 (634/1666 this epoch) | 489 ms/step | ~8 min left in epoch | rec 0.00411 lpips 0.1615 lr 5.52e-05
  step 2400 (734/1666 this epoch) | 489 ms/step | ~8 min left in epoch | rec 0.00406 lpips 0.1576 lr 5.76e-05
  step 2500 (834/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00399 lpips 0.1539 lr 6.00e-05
